,Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Year,Lithography(nm),Recommended_Customer_Price(USD),nb_of_Cores,nb_of_Threads,Processor_Base_Frequency(GHz),Cache(MB),TDP(W),Max_Memory_Bandwidth(GB/s),Instruction_Set(bit),Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Graphics_Base_Frequency(MHz)
277,Intel® Xeon® Processor E5 v4 Family,Server,E5-2623V4,Launched,2016,14.0,444.0,4.0,8.0,2.6,10.0,85.0,68.3,64,1,1,0
278,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2628LV4,Launched,2016,14.0,1364.0,12.0,24.0,1.9,30.0,75.0,68.3,64,1,1,0
279,Intel® Xeon® Processor E5 v4 Family,Server,E5-2630LV4,Launched,2016,14.0,612.0,10.0,20.0,1.8,25.0,55.0,68.3,64,1,1,0
280,Intel® Xeon® Processor E5 v4 Family,Server,E5-2630V4,Launched,2016,14.0,669.0,10.0,20.0,2.2,25.0,85.0,68.3,64,1,1,0
281,Intel® Xeon® Processor E5 v4 Family,Server,E5-2637V4,Launched,2016,14.0,996.0,4.0,8.0,3.5,15.0,135.0,76.8,64,1,1,0
282,Intel® Xeon® Processor E5 v4 Family,Server,E5-2640V4,Launched,2016,14.0,939.0,10.0,20.0,2.4,25.0,90.0,68.3,64,1,1,0
283,Intel® Xeon® Processor E5 v4 Family,Server,E5-2643V4,Launched,2016,14.0,1552.0,6.0,12.0,3.4,20.0,135.0,76.8,64,1,1,0
284,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2648LV4,Launched,2016,14.0,1544.0,14.0,28.0,1.8,35.0,75.0,76.8,64,1,1,0
285,Intel® Xeon® Processor E5 v4 Family,Server,E5-2650LV4,Launched,2016,14.0,1329.0,14.0,28.0,1.7,35.0,65.0,76.8,64,1,1,0
286,Intel® Xeon® Processor E5 v4 Family,Server,E5-2650V4,Launched,2016,14.0,1168.5,12.0,24.0,2.2,30.0,105.0,76.8,64,1,1,0
287,Intel® Xeon® Processor E5 v4 Family,Server,E5-2660V4,Launched,2016,14.0,1445.0,14.0,28.0,2.0,35.0,105.0,76.8,64,1,1,0
288,Intel® Xeon® Processor E5 v4 Family,Server,E5-2667V4,Launched,2016,14.0,2057.0,8.0,16.0,3.2,25.0,135.0,76.8,64,1,1,0
289,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2658V4,Launched,2016,14.0,1832.0,14.0,28.0,2.3,35.0,105.0,76.8,64,1,1,0
290,Intel® Xeon® Processor E5 v4 Family,Server,E5-2680V4,Launched,2016,14.0,1747.0,14.0,28.0,2.4,35.0,120.0,76.8,64,1,1,0
291,Intel® Xeon® Processor E5 v4 Family,Server,E5-2683V4,Launched,2016,14.0,1846.0,16.0,32.0,2.1,40.0,120.0,76.8,64,1,1,0
292,Intel® Xeon® Processor E5 v4 Family,Server,E5-2687WV4,Launched,2016,14.0,2143.0,12.0,24.0,3.0,30.0,160.0,76.8,64,1,1,0
293,Intel® Xeon® Processor E5 v4 Family,Server,E5-2690V4,Launched,2016,14.0,2092.0,14.0,28.0,2.6,35.0,135.0,76.8,64,1,1,0
294,Intel® Xeon® Processor E5 v4 Family,Server,E5-2695V4,Launched,2016,14.0,2426.0,18.0,36.0,2.1,45.0,120.0,76.8,64,1,1,0
295,Intel® Xeon® Processor E5 v4 Family,Server,E5-2697AV4,Launched,2016,14.0,2891.0,16.0,32.0,2.6,40.0,145.0,76.8,64,1,1,0
296,Intel® Xeon® Processor E5 v4 Family,Server,E5-2697V4,Launched,2016,14.0,2702.0,18.0,36.0,2.3,45.0,145.0,76.8,64,1,1,0
297,Intel® Xeon® Processor E5 v4 Family,Server,E5-2698V4,Launched,2016,14.0,3226.0,20.0,40.0,2.2,50.0,135.0,76.8,64,1,1,0
298,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2699RV4,Launched,2016,14.0,4560.0,22.0,44.0,2.2,55.0,145.0,76.8,64,1,1,0
299,Intel® Xeon® Processor E5 v4 Family,Server,E5-2699V4,Launched,2016,14.0,4115.0,22.0,44.0,2.2,55.0,145.0,76.8,64,1,1,0
300,Intel® Xeon® Processor E5 v4 Family,Server,E5-2699AV4,Launched,2016,14.0,4938.0,22.0,44.0,2.4,55.0,145.0,76.8,64,1,1,0
301,Intel® Xeon® Processor E5 v4 Family,Server,E5-4610V4,Launched,2016,14.0,1219.0,10.0,20.0,1.8,25.0,105.0,68.0,64,1,1,0
302,Intel® Xeon® Processor E5 v4 Family,Server,E5-4620V4,Launched,2016,14.0,1668.0,10.0,20.0,2.1,25.0,105.0,68.0,64,1,1,0
303,Intel® Xeon® Processor E5 v4 Family,Server,E5-4627V4,Launched,2016,14.0,2225.0,10.0,10.0,2.6,25.0,135.0,68.0,64,0,1,0
304,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-4628LV4,Launched,2016,14.0,2535.0,14.0,28.0,1.8,35.0,75.0,68.0,64,1,1,0
305,Intel® Xeon® Processor E5 v4 Family,Server,E5-4640V4,Launched,2016,14.0,2837.0,12.0,24.0,2.1,30.0,105.0,68.0,64,1,1,0
306,Intel® Xeon® Processor E5 v4 Family,Server,E5-4650V4,Launched,2016,14.0,3838.0,14.0,28.0,2.2,35.0,105.0,68.0,64,1,1,0
307,Intel® Xeon® Processor E5 v4 Family,Server,E5-4655V4,Launched,2016,14.0,4616.0,8.0,16.0,2.5,30.0,135.0,68.0,64,1,1,0
308,Intel® Xeon® Processor E5 v4 Family,Server,E5-4660V4,Launched,2016,14.0,4727.0,16.0,32.0,2.2,40.0,120.0,68.0,64,1,1,0
309,Intel® Xeon® Processor E5 v4 Family,Server,E5-4667V4,Launched,2016,14.0,5729.0,18.0,36.0,2.2,45.0,135.0,68.0,64,1,1,0
310,Intel® Xeon® Processor E5 v4 Family,Server,E5-4669V4,Launched,2016,14.0,7007.0,22.0,44.0,2.2,55.0,135.0,68.0,64,1,1,0
311,Intel® Xeon® Processor E5 v3 Family,Server,E5-2603V3,Launched,2014,22.0,215.0,6.0,6.0,1.6,15.0,85.0,51.0,64,0,1,0
312,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2608LV3,Launched,2014,22.0,441.0,6.0,12.0,2.0,15.0,52.0,59.0,64,1,1,0
313,Intel® Xeon® Processor E5 v3 Family,Server,E5-2609V3,Launched,2014,22.0,306.0,6.0,6.0,1.9,15.0,85.0,51.0,64,0,1,0
314,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2618LV3,Launched,2014,22.0,779.0,8.0,16.0,2.3,20.0,75.0,59.0,64,1,1,0
315,Intel® Xeon® Processor E5 v3 Family,Server,E5-2620V3,Launched,2014,22.0,419.5,6.0,12.0,2.4,15.0,85.0,59.0,64,1,1,0
316,Intel® Xeon® Processor E5 v3 Family,Server,E5-2623V3,Launched,2014,22.0,444.0,4.0,8.0,3.0,10.0,105.0,59.0,64,1,1,0
317,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2628LV3,Launched,2014,22.0,1364.0,10.0,20.0,2.0,25.0,75.0,59.0,64,1,1,0
318,Intel® Xeon® Processor E5 v3 Family,Server,E5-2630V3,Launched,2014,22.0,669.0,8.0,16.0,2.4,20.0,85.0,59.0,64,1,1,0
319,Intel® Xeon® Processor E5 v3 Family,Server,E5-2630LV3,Launched,2014,22.0,612.0,8.0,16.0,1.8,20.0,55.0,59.0,64,1,1,0
320,Intel® Xeon® Processor E5 v3 Family,Server,E5-2637V3,Launched,2014,22.0,996.0,4.0,8.0,3.5,15.0,135.0,68.0,64,1,1,0
321,Intel® Xeon® Processor E5 v3 Family,Server,E5-2640V3,Launched,2014,22.0,941.5,8.0,16.0,2.6,20.0,90.0,59.0,64,1,1,0
322,Intel® Xeon® Processor E5 v3 Family,Server,E5-2643V3,Launched,2014,22.0,1552.0,6.0,12.0,3.4,20.0,135.0,68.0,64,1,1,0
323,Intel® Xeon® Processor E5 v3 Family,Server,E5-2650V3,Launched,2014,22.0,1168.5,10.0,20.0,2.3,25.0,105.0,68.0,64,1,1,0
324,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2648LV3,Launched,2014,22.0,1544.0,12.0,24.0,1.8,30.0,75.0,68.0,64,1,1,0
325,Intel® Xeon® Processor E5 v3 Family,Server,E5-2650LV3,Launched,2014,22.0,1329.0,12.0,24.0,1.8,30.0,65.0,68.0,64,1,1,0
326,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2658V3,Launched,2014,22.0,1832.0,12.0,24.0,2.2,30.0,105.0,68.0,64,1,1,0
327,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2658AV3,Launched,2015,22.0,1832.0,12.0,24.0,2.2,30.0,105.0,68.0,64,1,1,0
328,Intel® Xeon® Processor E5 v3 Family,Server,E5-2660V3,Launched,2014,22.0,1447.0,10.0,20.0,2.6,25.0,105.0,68.0,64,1,1,0
329,Intel® Xeon® Processor E5 v3 Family,Server,E5-2667V3,Launched,2014,22.0,2057.0,8.0,16.0,3.2,20.0,135.0,68.0,64,1,1,0
330,Intel® Xeon® Processor E5 v3 Family,Server,E5-2670V3,Launched,2014,22.0,1591.0,12.0,24.0,2.3,30.0,120.0,68.0,64,1,1,0
331,Intel® Xeon® Processor E5 v3 Family,Server,E5-2680V3,Launched,2014,22.0,1747.0,12.0,24.0,2.5,30.0,120.0,68.0,64,1,1,0
332,Intel® Xeon® Processor E5 v3 Family,Server,E5-2683V3,Launched,2014,22.0,1846.0,14.0,28.0,2.0,35.0,120.0,68.0,64,1,1,0
333,Intel® Xeon® Processor E5 v3 Family,Server,E5-4610V3,Launched,2015,22.0,1219.0,10.0,20.0,1.7,25.0,105.0,68.0,64,1,1,0
334,Intel® Xeon® Processor E5 v3 Family,Server,E5-4620V3,Launched,2015,22.0,1668.0,10.0,20.0,2.0,25.0,105.0,68.0,64,1,1,0
335,Intel® Xeon® Processor E5 v3 Family,Server,E5-2687WV3,Launched,2014,22.0,2143.0,10.0,20.0,3.1,25.0,160.0,68.0,64,1,1,0
336,Intel® Xeon® Processor E5 v3 Family,Server,E5-4627V3,Launched,2015,22.0,2225.0,10.0,10.0,2.6,25.0,135.0,68.0,64,0,1,0
337,Intel® Xeon® Processor E5 v3 Family,Server,E5-2690V3,Launched,2014,22.0,2092.0,12.0,24.0,2.6,30.0,135.0,68.0,64,1,1,0
338,Intel® Xeon® Processor E5 v3 Family,Server,E5-4640V3,Launched,2015,22.0,2859.0,12.0,24.0,1.9,30.0,105.0,68.0,64,1,1,0
339,Intel® Xeon® Processor E5 v3 Family,Server,E5-1680V3,Launched,2014,22.0,1723.0,8.0,16.0,3.2,20.0,140.0,68.0,64,1,1,0
340,Intel® Xeon® Processor E5 v3 Family,Server,E5-2695V3,Launched,2014,22.0,2426.0,14.0,28.0,2.3,35.0,120.0,68.0,64,1,1,0
341,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-4648V3,Launched,2015,22.0,2405.0,12.0,24.0,1.7,30.0,105.0,68.0,64,1,1,0
342,Intel® Xeon® Processor E5 v3 Family,Server,E5-1660V3,Launched,2014,22.0,1080.0,8.0,16.0,3.0,20.0,140.0,68.0,64,1,1,0
343,Intel® Xeon® Processor E5 v3 Family,Server,E5-4650V3,Launched,2015,22.0,3838.0,12.0,24.0,2.1,30.0,105.0,68.0,64,1,1,0
344,Intel® Xeon® Processor E5 v3 Family,Server,E5-1650V3,Launched,2014,22.0,584.5,6.0,12.0,3.5,15.0,140.0,68.0,64,1,1,0
345,Intel® Xeon® Processor E5 v3 Family,Server,E5-2697V3,Launched,2014,22.0,2704.0,14.0,28.0,2.6,35.0,145.0,68.0,64,1,1,0
346,Intel® Xeon® Processor E5 v3 Family,Server,E5-4655V3,Launched,2015,22.0,4616.0,6.0,12.0,2.9,30.0,135.0,68.0,64,1,1,0
347,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2408LV3,Launched,2015,22.0,256.0,4.0,8.0,1.8,10.0,45.0,51.2,64,1,1,0
348,Intel® Xeon® Processor E5 v3 Family,Server,E5-1630V3,Launched,2014,22.0,372.0,4.0,8.0,3.7,10.0,140.0,68.0,64,1,1,0
349,Intel® Xeon® Processor E5 v3 Family,Server,E5-2698V3,Announced,2014,22.0,5609.42,16.0,32.0,2.3,40.0,135.0,68.0,64,1,1,0
350,Intel® Xeon® Processor E5 v3 Family,Server,E5-4660V3,Launched,2015,22.0,4727.0,14.0,28.0,2.1,35.0,120.0,68.0,64,1,1,0
351,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2418LV3,Launched,2015,22.0,472.0,6.0,12.0,2.0,15.0,50.0,51.2,64,1,1,0
352,Intel® Xeon® Processor E5 v3 Family,Server,E5-1620V3,Launched,2014,22.0,295.5,4.0,8.0,3.5,10.0,140.0,68.0,64,1,1,0
353,Intel® Xeon® Processor E5 v3 Family,Server,E5-4667V3,Launched,2015,22.0,5729.0,16.0,32.0,2.0,40.0,135.0,68.0,64,1,1,0
354,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2428LV3,Launched,2015,22.0,811.0,8.0,16.0,1.8,20.0,55.0,51.2,64,1,1,0
355,Intel® Xeon® Processor E5 v3 Family,Server,E5-4669V3,Launched,2015,22.0,7007.0,18.0,36.0,2.1,45.0,135.0,68.0,64,1,1,0
356,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2438LV3,Launched,2015,22.0,1555.0,10.0,20.0,1.8,25.0,70.0,51.2,64,1,1,0
357,Intel® Xeon® Processor E5 v3 Family,Embedded,E5-1428LV3,Launched,2015,22.0,608.0,8.0,16.0,2.0,20.0,65.0,51.2,64,1,1,0
358,Intel® Xeon® Processor E5 v3 Family,Server,E5-2699V3,Announced,2014,22.0,5880.02,18.0,36.0,2.3,45.0,145.0,68.0,64,1,1,0
359,Intel® Xeon® Processor E5 v2 Family,Server,E5-2690V2,Launched,2013,22.0,2059.0,10.0,20.0,3.0,25.0,130.0,59.7,64,1,1,0
360,Intel® Xeon® Processor E5 v2 Family,Server,E5-2680V2,Launched,2013,22.0,1725.0,10.0,20.0,2.8,25.0,115.0,59.7,64,1,1,0
361,Intel® Xeon® Processor E5 v2 Family,Server,E5-2687WV2,Launched,2013,22.0,2110.0,8.0,16.0,3.4,25.0,150.0,59.7,64,1,1,0
362,Intel® Xeon® Processor E5 v2 Family,Server,E5-2670V2,Launched,2013,22.0,1554.0,10.0,20.0,2.5,25.0,115.0,59.7,64,1,1,0
363,Intel® Xeon® Processor E5 v2 Family,Server,E5-2667V2,Launched,2013,22.0,2057.0,8.0,16.0,3.3,25.0,130.0,59.7,64,1,1,0
364,Intel® Xeon® Processor E5 v2 Family,Server,E5-2660V2,Launched,2013,22.0,1391.0,10.0,20.0,2.2,25.0,95.0,59.7,64,1,1,0
365,Intel® Xeon® Processor E5 v2 Family,Server,E5-2650LV2,Launched,2013,22.0,1219.0,10.0,20.0,1.7,25.0,70.0,51.2,64,1,1,0
366,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2658V2,Launched,2013,22.0,1750.0,10.0,20.0,2.4,25.0,95.0,59.7,64,1,1,0
367,Intel® Xeon® Processor E5 v2 Family,Server,E5-2650V2,Launched,2013,22.0,1168.5,8.0,16.0,2.6,20.0,95.0,59.7,64,1,1,0
368,Intel® Xeon® Processor E5 v2 Family,Server,E5-2470V2,Launched,2014,22.0,1440.0,10.0,20.0,2.4,25.0,95.0,38.4,64,1,1,0
369,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2648LV2,Launched,2013,22.0,1479.0,10.0,20.0,1.9,25.0,70.0,59.7,64,1,1,0
370,Intel® Xeon® Processor E5 v2 Family,Server,E5-2450LV2,Launched,2014,22.0,1219.0,10.0,20.0,1.7,25.0,60.0,38.4,64,1,1,0
371,Intel® Xeon® Processor E5 v2 Family,Server,E5-2643V2,Launched,2013,22.0,1552.0,6.0,12.0,3.5,25.0,130.0,59.7,64,1,1,0
372,Intel® Xeon® Processor E5 v2 Family,Server,E5-2450V2,Launched,2014,22.0,1107.0,8.0,16.0,2.5,20.0,95.0,38.4,64,1,1,0
373,Intel® Xeon® Processor E5 v2 Family,Server,E5-4657LV2,Launched,2014,22.0,4394.0,12.0,24.0,2.4,30.0,115.0,59.7,64,1,1,0
374,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2448LV2,Launched,2014,22.0,1424.0,10.0,20.0,1.8,25.0,70.0,38.4,64,1,1,0
375,Intel® Xeon® Processor E5 v2 Family,Server,E5-2640V2,Launched,2013,22.0,887.0,8.0,16.0,2.0,20.0,95.0,51.2,64,1,1,0
376,Intel® Xeon® Processor E5 v2 Family,Server,E5-2637V2,Launched,2013,22.0,996.0,4.0,8.0,3.5,15.0,130.0,59.7,64,1,1,0
377,Intel® Xeon® Processor E5 v2 Family,Server,E5-4650V2,Launched,2014,22.0,3616.0,10.0,20.0,2.4,25.0,95.0,59.7,64,1,1,0
378,Intel® Xeon® Processor E5 v2 Family,Server,E5-2440V2,Launched,2014,22.0,832.0,8.0,16.0,1.9,20.0,95.0,38.4,64,1,1,0
379,Intel® Xeon® Processor E5 v2 Family,Server,E5-2630LV2,Launched,2013,22.0,612.0,6.0,12.0,2.4,15.0,60.0,51.2,64,1,1,0
380,Intel® Xeon® Processor E5 v2 Family,Server,E5-2430LV2,Launched,2014,22.0,612.0,6.0,12.0,2.4,15.0,60.0,38.4,64,1,1,0
381,Intel® Xeon® Processor E5 v2 Family,Server,E5-4640V2,Launched,2014,22.0,2725.0,10.0,20.0,2.2,20.0,95.0,59.7,64,1,1,0
382,Intel® Xeon® Processor E5 v2 Family,Server,E5-2630V2,Launched,2013,22.0,614.0,6.0,12.0,2.6,15.0,80.0,51.2,64,1,1,0
383,Intel® Xeon® Processor E5 v2 Family,Server,E5-2430V2,Launched,2014,22.0,551.0,6.0,12.0,2.5,15.0,80.0,38.4,64,1,1,0
384,Intel® Xeon® Processor E5 v2 Family,Server,E5-4627V2,Launched,2014,22.0,2108.0,8.0,8.0,3.3,16.0,130.0,59.7,64,0,1,0
385,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-4624LV2,Launched,2014,22.0,2405.0,10.0,20.0,1.9,25.0,70.0,59.7,64,1,1,0
386,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2628LV2,Launched,2013,22.0,1216.0,8.0,16.0,1.9,20.0,70.0,51.2,64,1,1,0
387,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2428LV2,Launched,2014,22.0,1013.0,8.0,16.0,1.8,20.0,60.0,38.4,64,1,1,0
388,Intel® Xeon® Processor E5 v2 Family,Server,E5-2620V2,Launched,2013,22.0,408.0,6.0,12.0,2.1,15.0,80.0,51.2,64,1,1,0
389,Intel® Xeon® Processor E5 v2 Family,Server,E5-2420V2,Launched,2014,22.0,406.0,6.0,12.0,2.2,15.0,80.0,38.4,64,1,1,0
390,Intel® Xeon® Processor E5 v2 Family,Server,E5-1660V2,Launched,2013,22.0,1081.5,6.0,12.0,3.7,15.0,130.0,59.7,64,1,1,0
391,Intel® Xeon® Processor E5 v2 Family,Server,E5-4620V2,Launched,2014,22.0,1611.0,8.0,16.0,2.6,20.0,95.0,51.2,64,1,1,0
392,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2618LV2,Launched,2013,22.0,632.0,6.0,12.0,2.0,15.0,50.0,42.6,64,1,1,0
393,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2418LV2,Launched,2014,22.0,607.0,6.0,12.0,2.0,15.0,50.0,32.0,64,1,1,0
394,Intel® Xeon® Processor E5 v2 Family,Server,E5-1650V2,Launched,2013,22.0,583.0,6.0,12.0,3.5,12.0,130.0,59.7,64,1,1,0
395,Intel® Xeon® Processor E5 v2 Family,Server,E5-4610V2,Launched,2014,22.0,1219.0,8.0,16.0,2.3,16.0,95.0,51.2,64,1,1,0
396,Intel® Xeon® Processor E5 v2 Family,Server,E5-4607V2,Launched,2014,22.0,885.0,6.0,12.0,2.6,15.0,95.0,42.6,64,1,1,0
397,Intel® Xeon® Processor E5 v2 Family,Server,E5-2609V2,Launched,2013,22.0,296.5,4.0,4.0,2.5,10.0,80.0,42.6,64,0,1,0
398,Intel® Xeon® Processor E5 v2 Family,Server,E5-2407V2,Launched,2014,22.0,250.0,4.0,4.0,2.4,10.0,80.0,32.0,64,0,1,0
399,Intel® Xeon® Processor E5 v2 Family,Server,E5-1620V2,Launched,2013,22.0,294.0,4.0,8.0,3.7,10.0,130.0,59.7,64,1,1,0
400,Intel® Xeon® Processor E5 v2 Family,Embedded,E5-1428LV2,Launched,2014,22.0,494.0,6.0,12.0,2.2,15.0,60.0,38.4,64,1,1,0
401,Intel® Xeon® Processor E5 v2 Family,Server,E5-2603V2,Launched,2013,22.0,202.0,4.0,4.0,1.8,10.0,80.0,42.6,64,0,1,0
402,Intel® Xeon® Processor E5 v2 Family,Server,E5-2403V2,Launched,2014,22.0,192.0,4.0,4.0,1.8,10.0,80.0,32.0,64,0,1,0
403,Intel® Xeon® Processor E5 v2 Family,Server,E5-4603V2,Launched,2014,22.0,551.0,4.0,8.0,2.2,10.0,95.0,42.6,64,1,1,0
404,Intel® Xeon® Processor E5 Family,Embedded,E5-2658,Launched,2012,32.0,1479.0,8.0,16.0,2.1,20.0,95.0,51.2,64,1,1,0
405,Intel® Xeon® Processor E5 Family,Embedded,E5-2648L,Launched,2012,32.0,1266.0,8.0,16.0,1.8,20.0,70.0,49.25399999999991,64,1,1,0
406,Intel® Xeon® Processor E5 Family,Embedded,E5-2448L,Launched,2012,32.0,1266.0,8.0,16.0,1.8,20.0,70.0,49.25399999999991,64,1,1,0
407,Intel® Xeon® Processor E5 Family,Embedded,E5-2428L,Launched,2012,32.0,692.0,6.0,12.0,1.8,15.0,60.0,44.14199999999998,64,1,1,0
408,Intel® Xeon® Processor E5 Family,Server,E5-2620,Launched,2012,32.0,385.0,6.0,12.0,2.0,15.0,95.0,42.6,64,1,1,0
409,Intel® Xeon® Processor E5 Family,Embedded,E5-2418L,Launched,2012,32.0,428.0,4.0,8.0,2.0,10.0,50.0,41.84199999999996,64,1,1,0
410,Intel® Xeon® Processor E3 v6 Family,Server,E3-1225V6,Launched,2017,14.0,218.5,4.0,4.0,3.3,8.0,73.0,37.5,64,0,1,350
411,Intel® Xeon® Processor E3 v6 Family,Server,E3-1230V6,Launched,2017,14.0,255.5,4.0,8.0,3.5,8.0,72.0,37.5,64,1,1,0
412,Intel® Xeon® Processor E3 v6 Family,Server,E3-1240V6,Launched,2017,14.0,277.0,4.0,8.0,3.7,8.0,72.0,37.5,64,1,1,0
413,Intel® Xeon® Processor E3 v6 Family,Server,E3-1245V6,Launched,2017,14.0,289.0,4.0,8.0,3.7,8.0,73.0,37.5,64,1,1,350
414,Intel® Xeon® Processor E3 v6 Family,Server,E3-1270V6,Launched,2017,14.0,333.5,4.0,8.0,3.8,8.0,72.0,37.5,64,1,1,0
415,Intel® Xeon® Processor E3 v6 Family,Server,E3-1275V6,Launched,2017,14.0,339.0,4.0,8.0,3.8,8.0,73.0,37.5,64,1,1,350
416,Intel® Xeon® Processor E3 v6 Family,Server,E3-1280V6,Launched,2017,14.0,383.0,4.0,8.0,3.9,8.0,72.0,37.5,64,1,1,0
417,Intel® Xeon® Processor E3 v6 Family,Server,E3-1285V6,Launched,2017,14.0,450.0,4.0,8.0,4.1,8.0,79.0,37.5,64,1,1,350000
418,Intel® Xeon® Processor E3 v6 Family,Embedded,E3-1501LV6,Launched,2017,14.0,259.82,4.0,4.0,2.1,6.0,25.0,34.1,64,0,1,350
419,Intel® Xeon® Processor E3 v6 Family,Embedded,E3-1501MV6,Launched,2017,14.0,248.67,4.0,4.0,2.9,6.0,45.0,34.1,64,0,1,350
420,Intel® Xeon® Processor E3 v6 Family,Embedded,E3-1505LV6,Launched,2017,14.0,433.0,4.0,8.0,2.2,8.0,25.0,34.1,64,1,1,350
421,Intel® Xeon® Processor E3 v6 Family,Mobile,E3-1505MV6,Launched,2017,14.0,434.0,4.0,8.0,3.0,8.0,45.0,34.1,64,1,1,350
422,Intel® Xeon® Processor E3 v6 Family,Mobile,E3-1535MV6,Launched,2017,14.0,623.0,4.0,8.0,3.1,8.0,45.0,34.1,64,1,1,350
423,Intel® Xeon® Processor E3 v5 Family,Server,E3-1225V5,Launched,2015,14.0,218.5,4.0,4.0,3.3,8.0,80.0,34.1,64,0,1,400
424,Intel® Xeon® Processor E3 v5 Family,Server,E3-1230V5,Launched,2015,14.0,255.5,4.0,8.0,3.4,8.0,80.0,34.1,64,1,1,0
425,Intel® Xeon® Processor E3 v5 Family,Server,E3-1240V5,Launched,2015,14.0,277.0,4.0,8.0,3.5,8.0,80.0,34.1,64,1,1,0
426,Intel® Xeon® Processor E3 v5 Family,Server,E3-1235LV5,Launched,2015,14.0,250.0,4.0,4.0,2.0,8.0,25.0,34.1,64,0,1,400
427,Intel® Xeon® Processor E3 v5 Family,Server,E3-1240LV5,Launched,2015,14.0,278.0,4.0,8.0,2.1,8.0,25.0,34.1,64,1,1,0
428,Intel® Xeon® Processor E3 v5 Family,Server,E3-1245V5,Launched,2015,14.0,289.0,4.0,8.0,3.5,8.0,80.0,34.1,64,1,1,400
429,Intel® Xeon® Processor E3 v5 Family,Server,E3-1260LV5,Launched,2015,14.0,294.0,4.0,8.0,2.9,8.0,45.0,34.1,64,1,1,0
430,Intel® Xeon® Processor E3 v5 Family,Embedded,E3-1268LV5,Launched,2015,14.0,377.0,4.0,8.0,2.4,8.0,35.0,34.1,64,1,1,350
431,Intel® Xeon® Processor E3 v5 Family,Server,E3-1270V5,Launched,2015,14.0,333.5,4.0,8.0,3.6,8.0,80.0,34.1,64,1,1,0
432,Intel® Xeon® Processor E3 v5 Family,Server,E3-1275V5,Launched,2015,14.0,344.5,4.0,8.0,3.6,8.0,80.0,34.1,64,1,1,400
433,Intel® Xeon® Processor E3 v5 Family,Server,E3-1280V5,Launched,2015,14.0,612.0,4.0,8.0,3.7,8.0,80.0,34.1,64,1,1,0
434,Intel® Xeon® Processor E3 v5 Family,Mobile,E3-1505MV5,Launched,2015,14.0,434.0,4.0,8.0,2.8,8.0,45.0,34.1,64,1,1,350
435,Intel® Xeon® Processor E3 v5 Family,Embedded,E3-1505LV5,Launched,2015,14.0,433.0,4.0,8.0,2.0,8.0,25.0,34.1,64,1,1,350
436,Intel® Xeon® Processor E3 v5 Family,Mobile,E3-1515MV5,Launched,2016,14.0,489.0,4.0,8.0,2.8,8.0,45.0,34.1,64,1,1,350
437,Intel® Xeon® Processor E3 v5 Family,Mobile,E3-1535MV5,Launched,2015,14.0,623.0,4.0,8.0,2.9,8.0,45.0,34.1,64,1,1,350
438,Intel® Xeon® Processor E3 v5 Family,Mobile,E3-1545MV5,Launched,2016,14.0,679.0,4.0,8.0,2.9,8.0,45.0,34.1,64,1,1,350
439,Intel® Xeon® Processor E3 v5 Family,Embedded,E3-1558LV5,Launched,2016,14.0,396.0,4.0,8.0,1.9,8.0,45.0,33.75999999999994,64,1,1,650
440,Intel® Xeon® Processor E3 v5 Family,Server,E3-1565LV5,Launched,2016,14.0,417.0,4.0,8.0,2.5,8.0,35.0,34.09999999999994,64,1,1,350
441,Intel® Xeon® Processor E3 v5 Family,Mobile,E3-1575MV5,Launched,2016,14.0,1207.0,4.0,8.0,3.0,8.0,45.0,34.1,64,1,1,350
442,Intel® Xeon® Processor E3 v5 Family,Embedded,E3-1578LV5,Launched,2016,14.0,449.0,4.0,8.0,2.0,8.0,45.0,33.58999999999994,64,1,1,700
443,Intel® Xeon® Processor E3 v5 Family,Server,E3-1585LV5,Launched,2016,14.0,445.0,4.0,8.0,3.0,8.0,45.0,34.09999999999994,64,1,1,350
