,Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Year,Lithography(nm),Recommended_Customer_Price(USD),nb_of_Cores,nb_of_Threads,Processor_Base_Frequency(GHz),Cache(MB),TDP(W),Max_Memory_Bandwidth(GB/s),Instruction_Set(bit),Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Graphics_Base_Frequency(MHz)
152,7th Generation Intel® Core™ i7 Processors,Mobile,i7-7820HK,Launched,2017,14.0,378.0,4.0,8.0,2.9,8.0,45.0,34.1,64,1,1,350
153,7th Generation Intel® Core™ i7 Processors,Mobile,i7-7820HQ,Launched,2017,14.0,378.0,4.0,8.0,2.9,8.0,45.0,34.1,64,1,1,350
154,7th Generation Intel® Core™ i7 Processors,Mobile,i7-7920HQ,Launched,2017,14.0,568.0,4.0,8.0,3.1,8.0,45.0,34.1,64,1,1,350
155,Intel® Quark™ Microcontroller D2000 Series,Embedded,D2000,Launched,2015,26.44,2.54,1.0,1.0,0.032,0.6853125,1.1460000000000012,2.498999999999996,32,0,0,0
156,Intel® Quark™ SoC X1000 Series,Embedded,X1021D,Launched,2014,32.0,12.85,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
157,Intel® Quark™ Microcontroller D1000 Series,Embedded,D1000,Launched,2015,26.44,2.54,1.0,1.0,0.033,0.6853125,0.025,2.498999999999996,32,0,0,0
158,Legacy Intel Atom® Processors,Embedded,E620,Launched,2010,45.0,19.0,1.0,2.0,0.6,0.5,3.3,2.254999999999997,32,1,1,320
159,Intel® Atom™ Processor X Series,Mobile,x7-Z8750,Launched,2016,14.0,37.0,4.0,4.0,1.6,2.0,9.904583333333333,25.6,64,0,1,200
160,Intel® Atom™ Processor N Series,Mobile,N2600,Launched,2011,32.0,42.0,2.0,4.0,1.6,1.0,3.5,6.4542000000000055,64,1,0,400
161,Intel® Atom™ Processor E Series,Embedded,E3805,Launched,2014,22.0,31.0,2.0,2.0,1.33,1.0,3.0,7.606399999999997,64,0,1,0
162,Intel® Atom™ Processor C Series,Embedded,C2316,Launched,2017,22.0,39.0,2.0,2.0,1.5,1.0,7.0,9.524000000000003,64,0,1,0
163,Intel® Atom™ Processor C Series,Server,C2350,Launched,2013,22.0,43.0,2.0,2.0,1.7,1.0,6.0,10.7,64,0,1,0
164,Intel® Atom™ Processor C Series,Embedded,C2516,Launched,2017,22.0,64.0,4.0,4.0,1.4,2.0,10.0,19.21519999999997,64,0,1,0
165,Intel® Atom™ Processor C Series,Server,C2530,Launched,2013,22.0,70.0,4.0,4.0,1.7,2.0,9.0,21.3,64,0,1,0
166,Intel® Atom™ Processor C Series,Server,C2550,Launched,2013,22.0,86.0,4.0,4.0,2.4,2.0,14.0,25.6,64,0,1,0
